ASM41834v1	SAMN02603524	GCF_000418345.1
1st version of the MRSA CUHK_HK188	SAMN02665331	GCF_000590395.1
ASM59796v1	SAMN02690781	GCF_000597965.1
ASM62661v3	SAMN02700075	GCF_000626615.2
SAU05181.0	SAMN02644450	GCF_000647695.1
Sau052117641	SAMN02644477	GCF_000647715.1
Sau05191.0	SAMN02644479	GCF_000647735.1
Sau0520641	SAMN02644478	GCF_000647755.1
FINAL-RVI-4-454-contigs	SAMN02693833	GCF_000685465.1
ASM69521v1	SAMN02767598	GCF_000695215.1
ASM69587v1	SAMN02777327	GCF_000695875.1
A69	SAMN02726876	GCF_000698045.1
A187	SAMN02727158	GCF_000698065.1
A71	SAMN02727157	GCF_000698085.1
ASM70947v1	SAMN02693431	GCF_000709475.1
MM25	SAMEA3139039	GCF_000723625.1
MM66	SAMEA3139043	GCF_000723705.1
MM66-4	SAMEA3139049	GCF_000723825.1
MV8	SAMEA3139056	GCF_000723965.1
MM61	SAMEA3139066	GCF_000731175.1
MRSA_E1_CLCBio_denovo	SAMEA3139067	GCF_000731195.1
MRSA_P11_CLCBio_denovo	SAMEA3139068	GCF_000731215.1
MRSA_P7_CLCBio_denovo	SAMEA3139069	GCF_000731235.1
MRSA_P3_CLCBio_denovo	SAMEA3139070	GCF_000731255.1
MRSA_P1_CLCBio_denovo	SAMEA3139071	GCF_000731275.1
MRSA_P13_CLCBio_denovo	SAMEA3139074	GCF_000731335.1
MRSA_P5_CLCBio_denovo	SAMEA3139076	GCF_000731375.1
MRSA_S3_CLCBio_denovo	SAMEA3139077	GCF_000731395.1
MRSA_P4_CLCBio_denovo	SAMEA3139078	GCF_000731415.1
MRSA_P14_CLCBio_denovo	SAMEA3139079	GCF_000731435.1
MRSA_P12_CLCBio_denovo	SAMEA3139081	GCF_000731475.1
MRSA_P9_CLCBio_denovo	SAMEA3139082	GCF_000731495.1
MRSA_P10_CLCBio_denovo	SAMEA3139083	GCF_000731515.1
MRSA_P8_CLCBio_denovo	SAMEA3139084	GCF_000731535.1
MRSA_S2_CLCBio_denovo	SAMEA3139085	GCF_000731555.1
MRSA_P2_CLCBio_denovo	SAMEA3139086	GCF_000731575.1
MRSA_P6_CLCBio_denovo	SAMEA3139087	GCF_000731595.1
ASM73645v1	SAMN02911820	GCF_000736455.1
ASM73920v1	SAMN02947221	GCF_000739205.1
SAQ	SAMN02873989	GCF_000743415.1
ASM74650v1	SAMN03290990	GCF_000746505.1
ASM74727v1	SAMN02983094	GCF_000747275.1
ASM75620v1	SAMN03009478	GCF_000756205.1
ASM76345v1	SAMN02953024	GCF_000763455.1
ASM76957v1	SAMN03144721	GCF_000769575.1
ASM77202v1	SAMN03140315	GCF_000772025.1
ASM78702v1	SAMN02978821	GCF_000787025.1
ASM78811v1	SAMN03222810	GCF_000788115.1
MRSA_S1_CLCBio_denovo	SAMEA3158466	GCF_000801255.1
ASM81504v1	SAMN03251897	GCF_000815045.1
ASM81508v1	SAMN03251898	GCF_000815085.1
ASM81512v1	SAMN03251894	GCF_000815125.1
ASM81516v1	SAMN03251899	GCF_000815165.1
ASM81520v1	SAMN03251895	GCF_000815205.1
ASM81524v1	SAMN03251896	GCF_000815245.1
SAU060112_PRJEB6981_wgs	SAMEA2771242	GCF_000824985.1
ASM82715v1	SAMN03103724	GCF_000827155.1
ASM82979v1	SAMD00018594	GCF_000829795.1
ASM83163v1	SAMN03287930	GCF_000831635.1
ASM83176v1	SAMN03287931	GCF_000831765.1
ASM83177v1	SAMN03287932	GCF_000831775.1
ASM83178v1	SAMN03287933	GCF_000831785.1
ASM83184v1	SAMN03287938	GCF_000831845.1
ASM83185v1	SAMN03287936	GCF_000831855.1
ASM83186v1	SAMN03287937	GCF_000831865.1
ASM83188v1	SAMN03287935	GCF_000831885.1
ASM83192v1	SAMN03287940	GCF_000831925.1
ASM83196v1	SAMN03287939	GCF_000831965.1
ASM85565v1	SAMN03287942	GCF_000855655.1
FRI137 1.0	SAMN03202657	GCF_000877835.1
CCM5757 1.0	SAMN03198884	GCF_000877845.1
A900624 1.0	SAMN03202272	GCF_000877855.1
SA-085 1.0	SAMN03219991	GCF_000877865.1
SA-260 1.0	SAMN03219994	GCF_000877915.1
SA-083 1.0	SAMN03219989	GCF_000877925.1
SA-210 1.0	SAMN03219993	GCF_000877955.1
DSM799 1.0	SAMN03198887	GCF_000877975.1
FRI1151m 1.0	SAMN03202224	GCF_000877985.1
SA-006 1.0	SAMN03202661	GCF_000878015.1
SA-022 1.0	SAMN03219984	GCF_000878025.1
SA-038	SAMN03219986	GCF_000878035.1
SA-047	SAMN03219987	GCF_000878055.1
SA-067 1.0	SAMN03219988	GCF_000878095.1
SA-120 1.0	SAMN03219992	GCF_000878105.1
ASM93224v1	SAMN03253089	GCF_000932245.1
ASM93227v1	SAMN03253057	GCF_000932275.1
ASM93418v1	SAMN03339002	GCF_000934185.1
ASM93420v1	SAMN03339003	GCF_000934205.1
ASM93424v1	SAMN03339012	GCF_000934245.1
ASM93426v1	SAMN03339013	GCF_000934265.1
